3630003	TotalEnergies Access	RELAIS CHATELARD
3630004	Carrefour Market	MARKET DESERTINES
3700002	TotalEnergies	Relais Lagarde Bellerive
3700004	Leclerc	BELLERIVEDIS
3800003	Auchan	AUCHAN SUPERMARCHE
3800004	TotalEnergies	Relais Lagarde Gannat MENDES FRANCE
3800005	TotalEnergies	Relais Lagarde Paris Lozère
3800006	Intermarché	SAS SAIVE
3800009	Carrefour Market	CARREFOUR MARKET
4000001	Carrefour	CARREFOUR DIGNE
4000003	Esso Express	ESSO DES CIMES
4000004	Intermarché	INTERMARCHE DIGNE
4100001	Système U	U EXPRESS
4100002	Auchan	AUCHAN MANOSQUE
4100007	Leclerc	SAS SODIALPES
4100009	Indépendant sans enseigne	ETS GARCIN FRERES SAS
4100010	TotalEnergies	RELAIS DES PONCHES
4100011	TotalEnergies Access	RELAIS PLANTIERS
4100012	Indépendant sans enseigne	christian atamian station service
4103001	Système U	HYPER U
4120002	Proxi	Supérette Proxi - LA BOUTIQUE
4120004	Avia	Relais Napoléon
4120006	Auchan	AUCHAN SUPERMARCHÉ CASTELLANE
4130004	TotalEnergies	RELAIS DE VOLX
4130005	TotalEnergies	RELAIS DE MANOSQUE
4140001	Intermarché	INTERMARCHE SEYNE LES ALPES
4160002	TotalEnergies	SARL SNEGP - AGENT PEUGEOT
4160004	TotalEnergies Access	RELAIS LE BELVEDERE
4160006	Auchan	AUCHAN SUPERMARCHE CHATEAU-ARNOUX-SAINT-AUBAN
4160007	Indépendant sans enseigne	POLIOTTI ET LM
4170002	TotalEnergies	SARL GARAGE STATION CHABOT
4170003	Système U	U EXPRESS ST ANDRE LES ALPES
4190001	Intermarché	INTERMARCHE LES MEES
4200003	Intermarché	INTERMARCHE PEIPIN
4200007	Indépendant sans enseigne	STATION LOUIS Clm
4200009	Avia	AVIA AUBIGNOSC
4200010	Indépendant sans enseigne	CARBURANT LOTI SISTERON
4204001	Système U	SUPER U
4210004	Indépendant sans enseigne	Ets GARCIN FRERES
4210006	Système U	STATION UTILE VALENSOLE
4240002	Intermarché	INTERMARCHE  ANNOT
4260002	Indépendant sans enseigne	Le relais de Rochecline
4280001	Système U	UTILE
4300002	Intermarché	INTERMARCHE FORCALQUIER
4300005	Auchan	AUCHAN SUPERMARCHÉ FORCALQUIER
4320001	ENI	SARL  ENERGY ENTREVAUX   JAUME
4320002	Intermarché	INTERMARCHE
4330005	Avia	AVIA
4360001	TotalEnergies	GARAGE HONORAT
4370001	TotalEnergies	M.MICHEL BERAUD
4400002	TotalEnergies	SARL GARAGE DE RESTEFOND
4400003	Indépendant sans enseigne	STATION DU GRAVIER. SATA.
4400004	Indépendant sans enseigne	RELAIS DE TERRES NEUVES. SATA.
4400005	TotalEnergies	Station des 5 cols
4500001	Avia	SARL FLORENZANO Station AVIA
4500002	Esso	ESSO SERVICE MOINE ALAIN
4500003	Intermarché	INTERMARCHE RIEZ
4510003	Avia	Station avia
4600002	Avia	sarl garage de la cite
4700002	Intermarché	INTERMARCHE ORAISON
4700003	Carrefour Market	Carrefour Market
4700006	Carrefour Contact	CARREFOUR CONTACT ORAISON
4700007	TotalEnergies	SEGURRA FUEL AND SHOP - LES MELANES
4800001	TotalEnergies	SAS L'OLIVERAIE
5000005	Auchan	AUCHAN
5000006	Leclerc	SUDALP
5000008	Intermarché	INTERMARCHE GAP
5000010	Esso Express	ESSO FONT REYNE
5000017	TotalEnergies	RELAIS CHARANCE
5000018	TotalEnergies	RELAIS PUYMAURE
5000019	Intermarché	Intermarché Hyper
5100004	Carrefour Market	Carrefour Market
5100008	TotalEnergies Access	RELAIS GDE BOUCLE
5100009	Leclerc	LECLERC
5120002	Carrefour Contact	CARREFOUR CONTACT L ARGENTIERE LA BESSEE
5120003	Leclerc	LECLERC
5130002	Intermarché	INTERMARCHE TALLARD
5130004	Système U	Station U Tallard
5160001	Système U	SUPER U
5190001	Casino	CASINO REMOLLON
5190002	Système U	SUPER U
5200001	Système U	SUPER U
5200004	Intermarché	INTERMARCHE EMBRUN
5200005	Indépendant sans enseigne	CENTRE AUTO VIANOR FIORANI MYLENE
5200007	Avia	AVIA EURL SATINE
5200009	TotalEnergies	STATION 3E
5220001	Leclerc	LECLERC
5230003	Intermarché	INTERMARCHE CHORGES
5230007	TotalEnergies Access	RELAIS CHORGES
5230008	TotalEnergies Access	RELAIS CHORGES 2
5240003	Avia	STATION AVIA
5240004	TotalEnergies	Le relais de la vallée
5260001	TotalEnergies	MR. RANGUIS J.P.
5260002	Indépendant sans enseigne	SASU ELIE PELLEGRIN
5300001	TotalEnergies	SAS RRL REINAUDI
5300003	Intermarché	INTERMARCHE LARAGNE
5300004	Indépendant sans enseigne	GARAGE DU RIOU STATION
5300005	Netto	NETTO LARAGNE
5350001	Indépendant sans enseigne	LE RELAIS DE CHARPENEL
5400002	Système U	Super u veynes
5400003	Dyneff	Relais la gazoline
5400004	Carrefour Market	MARKET
5500001	Intermarché	INTERMARCHE LA FARE EN CHAMPSAUR
